code,company,actual,predicted,minimum,maximum
532313,MAHINDRA LIFESPACE DEVELOPERS LTD,0.050793885953762954,0.14834627084814436,0.04899124184673777,0.05880081916590097
500252,LAKSHMI MACHINE WORKS LTD,0.050763401131644334,0.13596156541786894,0.05015470729269397,0.05534801511194841
532134,BANK OF BARODA,0.050733677885646165,0.2244815425258873,0.0498767912075792,0.06042779652689972
524816,NATCO PHARMA LTD,0.04980938322275046,0.11525630815714694,0.049137323922507546,0.05335010634934775
532898,POWER GRID CORPORATION OF INDIA LTD,0.048692345745940085,0.2089482836213913,,0.056495583280811446
506820,ASTRAZENECA PHARMA INDIA LTD,0.04775099224623732,0.31459083050832226,,0.060492859294077356
500550,SIEMENS LTD,0.04760654318883805,0.06213629553270014,0.046392203776687346,0.04948309679500934
532892,MOTILAL OSWAL FINANCIAL SERVICES LTD,0.04681198417257971,0.3488100823452628,0.043596279080458086,0.06252664484474584
543187,ABB POWER PRODUCTS AND SYSTEMS INDIA LTD,0.04595515299121464,-2.048956436535405,-0.05031682960854981,
500495,ESCORTS LTD,0.045379289886271226,0.08987853693184701,0.04430261949939061,0.048725497525508615
512179,SUNTECK REALTY LTD,0.04464482714150288,0.11980211184712405,0.038233007258198365,0.051353131856214054
500182,HERO MOTOCORP LTD,0.044544600355303714,0.09194609166918286,0.043040813663923365,0.04879414207654669
505533,WESTLIFE DEVELOPMENT LTD,0.04277045275132989,0.12822614637735047,0.04001702051532305,0.0476359090803793
509557,GARWARE TECHNICAL FIBRES LTD,0.042248474030763844,0.10393177685690826,,0.04485449944834596
540975,ASTER DM HEALTHCARE LTD,0.04196077022485974,0.045961230214159,0.039738825719091216,0.04315283555933873
506767,ALKYL AMINES CHEMICALS LTD,0.04187034584991326,0.1531670838579284,0.04003860218828671,0.04734648781729184
532779,TORRENT POWER LTD,0.041702364675387876,0.16179456204926507,,0.046710493284941965
532714,KEC INTERNATIONAL LTD,0.04105192439344902,0.2542170617565375,0.0387477259294742,0.05348777601790554
524804,AUROBINDO PHARMA LTD,0.040940601596109856,0.15951146690303294,,0.0457949641535466
523319,BALMER LAWRIE  CO LTD,0.03906143197701414,0.09484881552959372,0.037871329984319226,0.04211004760173453
532636,IIFL FINANCE LTD,0.03895670158045191,0.14745244565228602,0.033799993572295926,0.04471715380554682
517506,TTK PRESTIGE LTD,0.038479869757052886,0.10189353566426679,,0.04092001936197975
532725,SOLAR INDUSTRIES INDIA LTD,0.038030635749070014,0.09833021631765697,0.03711111193082135,0.04058537046394588
500292,HEIDELBERG CEMENT INDIA LTD,0.03777214441190504,0.1415516980242108,0.03742917568295096,0.041790119433929136
532929,BRIGADE ENTERPRISES LTD,0.037771486610925484,0.15146547573990504,0.03263962982337822,0.04432424946197563
532331,AJANTA PHARMA LTD,0.035635463735026816,0.15408374282071835,0.03270884744725416,0.04162050558764095
532477,UNION BANK OF INDIA,0.035445772324133984,0.3395956117304199,0.029996863493518076,0.050652889590687394
500870,CASTROL INDIA LTD,0.03508047065592906,0.12888076267293733,0.03381771249187457,0.03905025306414165
500825,BRITANNIA INDUSTRIES LTD,0.034327221992485404,0.11342450519041776,,0.037042411991823315
500696,HINDUSTAN UNILEVER LTD,0.03408039409535108,0.13691870808304726,,0.037585164364153226
500233,KAJARIA CERAMICS LTD,0.03397964247144723,0.12679528715905578,,0.03713348489368905
532889,KPR MILLS LTD,0.03362910058582561,0.12294102453849431,0.031491695797386164,0.03755678420826843
533206,SJVN LTD,0.03348107827543948,0.10022828232771044,0.03225307947183357,0.0361275042742355
542760,STERLING AND WILSON SOLAR LTD,0.03236334591041637,0.04905294001931095,0.029141784673938152,0.035386193964527995
531768,POLY MEDICURE LTD,0.030951025663388455,0.10974680732669324,0.026708675969546302,0.033916230344455595
542649,RAIL VIKAS NIGAM LTD,0.030778043835656316,0.15578568014396021,,0.03462553434574508
505255,GMM PFAUDLER LTD,0.028986243455175448,0.10330011577979145,0.028685225568037345,0.03116790881993917
522287,KALPATARU POWER TRANSMISSION LTD,0.028041584256370485,0.16676862421474206,0.025902429979412785,0.03323533839958647
500878,CEAT LTD,0.027849437433066837,0.6546326853696397,,0.045304998280570836
511243,CHOLAMANDALAM INVESTMENT  FINANCE CO LTD,0.027732985943248696,0.19430679520374228,,0.032352575053983354
500020,BOMBAY DYEING  MFG CO LTD,0.027712670891488673,0.23425598358837474,,0.03343653774109531
502355,BALKRISHNA INDUSTRIES LTD,0.026789919814402968,0.15929498772438022,0.024282668921865848,0.03117107990494724
532921,ADANI PORTS AND SPECIAL ECONOMIC ZONE LTD,0.026742579557646983,0.07737579209065389,,0.02809664227207017
500148,UFLEX LTD,0.026232071263290482,0.11003767396452103,0.025147604976776757,0.029376374857988476
541540,SOLARA ACTIVE PHARMA SCIENCES LTD,0.026077118068999473,0.13173079886391387,0.025357930106635253,0.029319887047109694
532819,MINDTREE LTD,0.02518227699135699,0.13270905503189176,0.024860652061322572,0.028161914795737226
532525,BANK OF MAHARASHTRA,0.023970526982287573,0.12183386606995689,0.021512721740175343,0.02722075200292731
500104,HINDUSTAN PETROLEUM CORPN LTD,0.023962180290038746,0.11569812725409026,0.02187732671768079,0.026822700426235996
539658,TEAMLEASE SERVICES LTD,0.023451538104318662,0.07693609702771975,0.021099319512239752,0.031250987884033944
500570,TATA MOTORS LTD,0.02234994456199653,0.166923561553507,,0.025581156886884112
