Date,Open,High,Low,Close
5-March-2013,7166.83,7255.98,7166.83,7250.28,
6-March-2013,7286.64,7321.12,7280.24,7302.59,
7-March-2013,7296.94,7365.77,7291.38,7353.31,
8-March-2013,7377.40,7450.54,7377.40,7444.69,
11-March-2013,7449.96,7478.62,7431.27,7442.65,
12-March-2013,7454.62,7462.51,7386.29,7407.21,
13-March-2013,7387.67,7387.67,7315.95,7324.26,
14-March-2013,7326.74,7398.50,7255.12,7391.39,
15-March-2013,7393.30,7437.97,7338.87,7347.30,
18-March-2013,7296.16,7319.61,7281.10,7300.54,
19-March-2013,7321.86,7330.35,7173.30,7185.87,
20-March-2013,7186.71,7189.40,7087.64,7104.52,
21-March-2013,7124.49,7167.53,7036.68,7048.45,
22-March-2013,7050.63,7074.25,7002.63,7031.75,
25-March-2013,7088.83,7110.22,6997.12,7010.02,
26-March-2013,6992.82,7024.38,6986.88,7012.77,
28-March-2013,7011.16,7098.79,6976.75,7084.96,
1-April-2013,7105.97,7138.60,7088.95,7123.95,
2-April-2013,7126.95,7200.93,7119.04,7198.20,
3-April-2013,7190.09,7211.23,7090.89,7116.05,
4-April-2013,7083.23,7083.23,6985.34,6994.60,
5-April-2013,6988.30,7008.47,6957.09,6975.85,
8-April-2013,6977.80,7003.65,6962.72,6968.26,
9-April-2013,6999.09,7027.16,6891.74,6897.91,
10-April-2013,6937.78,6974.17,6872.16,6965.18,
11-April-2013,7015.97,7017.59,6949.09,6998.72,
12-April-2013,6913.43,6959.82,6912.07,6944.14,
15-April-2013,6928.48,7011.14,6916.04,6978.19,
16-April-2013,6969.53,7111.08,6969.14,7103.02,
17-April-2013,7125.14,7163.48,7088.30,7109.67,
18-April-2013,7104.79,7215.49,7104.79,7204.83,
22-April-2013,7218.07,7285.75,7217.46,7275.57,
23-April-2013,7283.98,7283.98,7224.16,7272.52,
25-April-2013,7301.16,7357.44,7298.99,7349.71,
26-April-2013,7344.54,7349.36,7288.56,7299.22,
29-April-2013,7310.23,7360.74,7303.64,7347.20,
30-April-2013,7399.46,7413.56,7309.99,7385.25,
2-May-2013,7374.61,7486.55,7374.61,7466.33,
3-May-2013,7462.40,7473.01,7401.07,7414.09,
6-May-2013,7423.43,7458.52,7405.35,7456.13,
7-May-2013,7471.57,7540.70,7471.57,7533.35,
8-May-2013,7558.53,7570.95,7517.23,7558.77,
9-May-2013,7579.05,7579.62,7523.33,7534.53,
10-May-2013,7535.73,7589.94,7535.21,7579.68,
11-May-2013,7579.31,7608.78,7574.70,7601.18,
13-May-2013,7595.49,7598.94,7450.16,7458.16,
14-May-2013,7466.57,7509.45,7447.21,7476.38,
15-May-2013,7509.98,7650.97,7509.98,7643.24,
